146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,146,16,17
146,146,146,146,146,146,146,146,146,146,146,146,146,146,49,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,49,16,17
146,146,146,49,49,49,49,49,49,49,49,49,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,40,41,40,41,24,25,16,17
146,146,49,49,49,27,0,27,0,0,0,49,49,146,49,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,28,29,49,16,17
146,24,25,49,49,49,49,49,49,0,0,0,49,146,146,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,146,16,17
146,24,25,42,43,0,0,42,43,49,0,0,0,49,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,16,17,16,17
146,24,25,42,43,0,0,42,43,49,0,0,0,0,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,10,11,4,94
146,24,25,42,43,0,0,42,43,49,0,0,0,0,0,0,0,0,54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,94
146,24,25,49,49,49,49,49,49,0,0,0,0,0,0,0,0,0,0,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,0,0,16,17
146,146,49,49,49,27,0,27,0,0,0,0,0,0,0,49,49,49,49,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,49,16,17,16,17
146,146,146,49,49,49,49,49,49,49,49,49,49,49,49,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,49,10,11,158,158
146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,49,49,146,146
